county,date,cases,name,population,rate
Wise,2020-03-05,0,Wise,69984,0.0
Wood,2020-03-05,0,Wood,45539,0.0
Yoakum,2020-03-05,0,Yoakum,8713,0.0
Young,2020-03-05,0,Young,18010,0.0
Zapata,2020-03-05,0,Zapata,14179,0.0
Zavala,2020-03-05,0,Zavala,11840,0.0
Anderson,2020-03-06,0,Anderson,57735,0.0
Andrews,2020-03-06,0,Andrews,18705,0.0
Angelina,2020-03-06,0,Angelina,86715,0.0
Aransas,2020-03-06,0,Aransas,23510,0.0
Archer,2020-03-06,0,Archer,8553,0.0
Armstrong,2020-03-06,0,Armstrong,1887,0.0
Atascosa,2020-03-06,0,Atascosa,51153,0.0
Austin,2020-03-06,0,Austin,30032,0.0
Bailey,2020-03-06,0,Bailey,7000,0.0
Bandera,2020-03-06,0,Bandera,23112,0.0
Bastrop,2020-03-06,0,Bastrop,88723,0.0
Baylor,2020-03-06,0,Baylor,3509,0.0
Bee,2020-03-06,0,Bee,32565,0.0
Bell,2020-03-06,0,Bell,362924,0.0
Bexar,2020-03-06,0,Bexar,2003554,0.0
Blanco,2020-03-06,0,Blanco,11931,0.0
Borden,2020-03-06,0,Borden,654,0.0
Bosque,2020-03-06,0,Bosque,18685,0.0
Bowie,2020-03-06,0,Bowie,93245,0.0
Brazoria,2020-03-06,0,Brazoria,374264,0.0
Brazos,2020-03-06,0,Brazos,229211,0.0
Brewster,2020-03-06,0,Brewster,9203,0.0
Briscoe,2020-03-06,0,Briscoe,1546,0.0
Brooks,2020-03-06,0,Brooks,7093,0.0
Brown,2020-03-06,0,Brown,37864,0.0
Burleson,2020-03-06,0,Burleson,18443,0.0
Burnet,2020-03-06,0,Burnet,48155,0.0
Caldwell,2020-03-06,0,Caldwell,43664,0.0
